Model,Capacity,NAND Type,Format,Interface,Released,Controller,DRAM,Sequential R/W,Random R/W,Endurance,Product URL
Sony Nextorage NEM-PA (PS5) (Micron B47R),1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7300/6900 MB/s,1000000/1000000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/sony-nextorage-nem-pa-ps5-1-tb.d728
Sony Playstation 5,825GB,TLC,Embedded,PCIe 4.0 x4,2020,Sony Titania II,Yes,5500/Unknown MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/sony-playstation-5-825-gb.d751
Sony Playstation 5 SLIM,1TB,TLC,Embedded,PCIe 4.0 x4,2023,Unknown,Yes,Unknown MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/sony-playstation-5-slim-1-tb.d1773
SSD MW Informatica pSLC,240GB,pSLC,2.5,SATA 6 Gbps,2024,SM2259XT2,No,560/500 MB/s,70000/76000 IOPS,5760TBW,https://www.techpowerup.com/ssd-specs/ssd-mw-informatica-pslc-240-gb.d1905
SSD Peperaio Hardware,320GB,pSLC,2.5,SATA 6 Gbps,2024,SM2259XT2,No,540/500 MB/s,70000/76000 IOPS,3413TBW,https://www.techpowerup.com/ssd-specs/ssd-peperaio-hardware-320-gb.d1904
SSSTC Lite-On SVZ SSD,128GB,MLC,M.2 2280,SATA 6 Gbps,2018,SM2258H,Yes,530/400 MB/s,78000/58000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/ssstc-lite-on-svz-ssd-128-gb.d2273
SSTC HammerHead E18,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2023,Phison E18,Yes,7000/5500 MB/s,350000/700000 IOPS,750TBW,https://www.techpowerup.com/ssd-specs/sstc-hammerhead-e18-1-tb.d1403
SSTC Tiger Shark,1TB 2TB 4TB,TLC,M.2 2280,PCIe 5.0 x4,2023,Phison E26,Yes,10000/8500 MB/s,1300000/1500000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/sstc-tiger-shark-1-tb.d1409
Synology SAT5200,480GB 960GB,TLC,M.2 2280,SATA 6 Gbps,2020,Phison S12DC,Yes,530/500 MB/s,98000/67000 IOPS,2194TBW,https://www.techpowerup.com/ssd-specs/synology-sat5200-960-gb.d1391
Teamgroup Cardea A440,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7000/5500 MB/s,700000/650000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-a440-1-tb.d484
Teamgroup Cardea A440 Lite,512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2024,Phison E27T,HMB,7200/6200 MB/s,Unknown IOPS,600TBW,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-a440-lite-1-tb.d2078
Teamgroup Cardea A440 Pro,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7200/6000 MB/s,1000000/1000000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-a440-pro-1-tb.d490
Teamgroup Cardea A440 Pro (w/ Heatsink),1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7200/6000 MB/s,1000000/1000000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-a440-pro-w-heatsink-1-tb.d487
Teamgroup Cardea A440 Pro Special Series,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7200/6000 MB/s,1000000/1000000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-a440-pro-special-series-1-tb.d493
Teamgroup Cardea Ceramic C440,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2020,Phison E16,Yes,5000/4400 MB/s,750000/750000 IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-ceramic-c440-1-tb.d495
Teamgroup Cardea II,256GB 512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2019,Phison E12,Yes,3400/3000 MB/s,450000/400000 IOPS,1665TBW,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-ii-1-tb.d480
Teamgroup Cardea II TUF Gaming Alliance,1TB,TLC,M.2 2280,PCIe 3.0 x4,2019,Phison E12,Yes,3400/3000 MB/s,450000/400000 IOPS,1665TBW,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-ii-tuf-gaming-alliance-1-tb.d849
Teamgroup Cardea IOPS,1TB,TLC,M.2 2280,PCIe 3.0 x4,2020,Phison E12S,Yes,3400/3000 MB/s,680000/670000 IOPS,1665TBW,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-iops-1-tb.d496
Teamgroup Cardea Liquid,256GB 512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2019,Phison E12,Yes,3400/3000 MB/s,450000/400000 IOPS,1665TBW,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-liquid-1-tb.d497
Teamgroup Cardea Z440 TUF Gaming Alliance,1TB,TLC,M.2 2280,PCIe 4.0 x4,2019,Phison E16,Yes,5000/4400 MB/s,750000/750000 IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-z440-tuf-gaming-alliance-1-tb.d848
Teamgroup Cardea Z44L,500GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E19T,HMB,3500/3000 MB/s,263000/382000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-z44l-1-tb.d541
Teamgroup Cardea Z44Q,2TB 4TB,QLC,M.2 2280,PCIe 4.0 x4,2021,Phison E16,Yes,5000/3700 MB/s,350000/600000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-z44q-2-tb.d501
Teamgroup Cardea Zero Z330,512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2020,RTS5763DL,HMB,2100/1700 MB/s,220000/200000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-zero-z330-1-tb.d1206
Teamgroup Cardea Zero Z440 (Kioxia BiCS4),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2019,Phison E16,Yes,5000/4400 MB/s,750000/750000 IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-zero-z440-1-tb.d503
Teamgroup Cardea Zero Z440 (Kioxia BiCS5),1TB,TLC,M.2 2280,PCIe 4.0 x4,2019,Phison E16,Yes,5000/4400 MB/s,750000/750000 IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-zero-z440-1-tb.d1406
Teamgroup EX2 Elite,512GB 1TB 2TB,TLC,2.5,SATA 6 Gbps,2020,SM2258XT,No,550/520 MB/s,40902/35983 IOPS,800TBW,https://www.techpowerup.com/ssd-specs/teamgroup-ex2-elite-1-tb.d531
Teamgroup GX2,128GB 256GB 512GB 1TB 2TB,TLC,2.5,SATA 6 Gbps,2019,SM2258XT,No,530/480 MB/s,Unknown IOPS,800TBW,https://www.techpowerup.com/ssd-specs/teamgroup-gx2-1-tb.d1945
Teamgroup L5 Lite 3D,120GB 240GB 480GB 1TB,TLC,2.5,SATA 6 Gbps,2017,SM2258G,Yes,500/480 MB/s,80000/70000 IOPS,240TBW,https://www.techpowerup.com/ssd-specs/teamgroup-l5-lite-3d-1-tb.d533
Teamgroup MP33 (MAP1202 + BiCS5 HDR 1Tb),512GB,TLC,M.2 2280,PCIe 3.0 x4,2022,MAP1202A-F1C,HMB,1700/1400 MB/s,220000/200000 IOPS,350TBW,https://www.techpowerup.com/ssd-specs/teamgroup-mp33-512-gb.d1942
Teamgroup MP33 (MAP1202 + SK Hynix TLC V7 512Gb),512GB,TLC,M.2 2280,PCIe 3.0 x4,2022,MAP1202A-F1C,HMB,3500/3000 MB/s,Unknown IOPS,256TBW,https://www.techpowerup.com/ssd-specs/teamgroup-mp33-512-gb.d2286
Teamgroup MP33 (SM2263XT + B27B),128GB 256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2020,SM2263XT,HMB,1800/1500 MB/s,220000/200000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/teamgroup-mp33-1-tb.d1209
Teamgroup MP34 (E12 + Kioxia BiCS3),256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2019,Phison E12,Yes,3400/2600 MB/s,450000/400000 IOPS,1660TBW,https://www.techpowerup.com/ssd-specs/teamgroup-mp34-1-tb.d1527
Teamgroup MP34 (RTS5762 + SK Hynix V6),1TB 4TB,TLC,M.2 2280,PCIe 3.0 x4,2023,RTS5762,Yes,3400/2900 MB/s,450000/400000 IOPS,2000TBW,https://www.techpowerup.com/ssd-specs/teamgroup-mp34-1-tb.d1531
Teamgroup MP34Q (RTS5762 + QLC),4TB,QLC,M.2 2280,PCIe 3.0 x4,2023,RTS5762,Yes,3400/2900 MB/s,450000/400000 IOPS,900TBW,https://www.techpowerup.com/ssd-specs/teamgroup-mp34q-4-tb.d1532
Teamgroup MP44,512GB 1TB 2TB 4TB 8TB,TLC,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,HMB,7400/6500 MB/s,650000/650000 IOPS,1450TBW,https://www.techpowerup.com/ssd-specs/teamgroup-mp44-1-tb.d1680
Teamgroup MP44L (MAP1602 + CDT2A),2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,MAP1602A,HMB,4800/4400 MB/s,525000/550000 IOPS,1200TBW,https://www.techpowerup.com/ssd-specs/teamgroup-mp44l-2-tb.d1487
Teamgroup MP44L (Phison E21T + B47R),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E21T,HMB,5000/4500 MB/s,525000/550000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/teamgroup-mp44l-1-tb.d1168
Teamgroup MP44Q,1TB 2TB 4TB,QLC,M.2 2280,PCIe 4.0 x4,2024,MAP1602A,HMB,7400/6200 MB/s,Unknown IOPS,512TBW,https://www.techpowerup.com/ssd-specs/teamgroup-mp44q-1-tb.d1994
Teamgroup MP44S,1TB 2TB,QLC,M.2 2230,PCIe 4.0 x4,2023,Phison E21T,HMB,5000/3500 MB/s,480000/500000 IOPS,250TBW,https://www.techpowerup.com/ssd-specs/teamgroup-mp44s-1-tb.d1723
Teamgroup QX,15TB,QLC,2.5,SATA 6 Gbps,2020,Phison S12DC,Yes,560/480 MB/s,Unknown IOPS,2560TBW,https://www.techpowerup.com/ssd-specs/teamgroup-qx-15-tb.d504
Teamgroup T-Create Classic PCIe 4.0,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E16,Yes,5000/4400 MB/s,750000/750000 IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/teamgroup-t-create-classic-pcie-4-0-1-tb.d517
Teamgroup T-Create Classic PCIe 4.0 DL,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E21T,HMB,5000/4500 MB/s,525000/550000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/teamgroup-t-create-classic-pcie-4-0-dl-1-tb.d1199
Teamgroup T-Create Classic SATA,1TB,TLC,2.5,SATA 6 Gbps,2021,SM2259XT2,No,550/520 MB/s,70000/60000 IOPS,240TBW,https://www.techpowerup.com/ssd-specs/teamgroup-t-create-classic-sata-1-tb.d1883
Teamgroup T-Create Expert,1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2021,SM2262ENG,Yes,3400/3000 MB/s,180000/140000 IOPS,6000TBW,https://www.techpowerup.com/ssd-specs/teamgroup-t-create-expert-1-tb.d515
Teamgroup T-Force Cardea Zero Z340,256GB 512GB 1TB 4TB,TLC,M.2 2280,PCIe 3.0 x4,2020,Phison E12S,Yes,3400/3000 MB/s,450000/400000 IOPS,1665TBW,https://www.techpowerup.com/ssd-specs/teamgroup-t-force-cardea-zero-z340-1-tb.d538
Teamgroup T-Force Delta Max RGB,250GB 500GB 1TB,TLC,2.5,SATA 6 Gbps,2019,SM2258G,Yes,560/510 MB/s,90000/80000 IOPS,800TBW,https://www.techpowerup.com/ssd-specs/teamgroup-t-force-delta-max-rgb-1-tb.d505
Teamgroup T-Force Delta Phantom Gaming RGB,250GB 500GB 1TB,TLC,2.5,SATA 6 Gbps,2019,SM2258G,Yes,560/510 MB/s,90000/80000 IOPS,800TBW,https://www.techpowerup.com/ssd-specs/teamgroup-t-force-delta-phantom-gaming-rgb-1-tb.d521
Teamgroup T-Force Delta R RGB (Black),250GB 500GB 1TB,TLC,2.5,SATA 6 Gbps,2020,SM2258G,Yes,560/510 MB/s,90000/80000 IOPS,240TBW,https://www.techpowerup.com/ssd-specs/teamgroup-t-force-delta-r-rgb-black-1-tb.d510
Teamgroup T-Force Delta R RGB (White),250GB 500GB 1TB,TLC,2.5,SATA 6 Gbps,2020,SM2258G,Yes,560/510 MB/s,90000/80000 IOPS,240TBW,https://www.techpowerup.com/ssd-specs/teamgroup-t-force-delta-r-rgb-white-1-tb.d513
Teamgroup T-Force Delta S TUF Gaming RGB,250GB 500GB 1TB,TLC,2.5,SATA 6 Gbps,2019,SM2258G,Yes,560/510 MB/s,90000/80000 IOPS,800TBW,https://www.techpowerup.com/ssd-specs/teamgroup-t-force-delta-s-tuf-gaming-rgb-1-tb.d518
Teamgroup T-Force G50,512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,IG5220,HMB,5000/4800 MB/s,Unknown IOPS,650TBW,https://www.techpowerup.com/ssd-specs/teamgroup-t-force-g50-1-tb.d2203
Teamgroup T-Force G70 PRO (SK Hynix TLC V7 512Gb),1TB,TLC,M.2 2280,PCIe 4.0 x4,2024,IG5236,Yes,7400/5500 MB/s,Unknown IOPS,740TBW,https://www.techpowerup.com/ssd-specs/teamgroup-t-force-g70-pro-1-tb.d2280
Teamgroup T-Force G70 PRO (w/ Heatsink),512GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2024,IG5236,Yes,7400/5500 MB/s,Unknown IOPS,740TBW,https://www.techpowerup.com/ssd-specs/teamgroup-t-force-g70-pro-w-heatsink-1-tb.d2037
Teamgroup T-Force G70 PRO (YMTC TLC CDT1B 512Gb 128-Layers),512GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2024,IG5236,Yes,7400/5500 MB/s,Unknown IOPS,740TBW,https://www.techpowerup.com/ssd-specs/teamgroup-t-force-g70-pro-1-tb.d2033
Teamgroup T-Force GE Pro,2TB 4TB,TLC,M.2 2280,PCIe 5.0 x4,2024,IG5666,Yes,14000/11800 MB/s,Unknown IOPS,1400TBW,https://www.techpowerup.com/ssd-specs/teamgroup-t-force-ge-pro-2-tb.d1860
Teamgroup T-Force Vulcan Z (SM2258XT + SanDisk BiCS3),240GB 256GB 480GB 512GB 1TB 2TB,TLC,2.5,SATA 6 Gbps,2022,SM2258XT,No,550/500 MB/s,Unknown IOPS,800TBW,https://www.techpowerup.com/ssd-specs/teamgroup-t-force-vulcan-z-1-tb.d1153
Teamgroup T-Force Vulcan Z (SM2259XT + SK Hynix V6),240GB 256GB 480GB 512GB 1TB 2TB,TLC,2.5,SATA 6 Gbps,2022,SM2259XT,No,550/500 MB/s,Unknown IOPS,800TBW,https://www.techpowerup.com/ssd-specs/teamgroup-t-force-vulcan-z-1-tb.d1147
Teamgroup T-Force Z540,1TB 2TB 4TB,TLC,M.2 2280,PCIe 5.0 x4,2023,Phison E26,Yes,11700/9500 MB/s,1400000/1400000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/teamgroup-t-force-z540-1-tb.d1657
Teamgroup Vulcan,250GB 500GB 1TB,TLC,2.5,SATA 6 Gbps,2020,SM2258G,Yes,560/510 MB/s,90000/80000 IOPS,480TBW,https://www.techpowerup.com/ssd-specs/teamgroup-vulcan-1-tb.d524
Teamgroup Vulcan G,512GB 1TB 2TB,TLC,2.5,SATA 6 Gbps,2020,SM2258XT,No,550/560 MB/s,70000/60000 IOPS,800TBW,https://www.techpowerup.com/ssd-specs/teamgroup-vulcan-g-1-tb.d528
Teracle T450,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,IG5236,Yes,7400/6400 MB/s,1000000/800000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/teracle-t450-1-tb.d1891
TLET TLD-M7A,4TB,TLC,M.2 2280,PCIe 4.0 x4,Unknown,Phison E18,Yes,7000/6600 MB/s,Unknown IOPS,3000TBW,https://www.techpowerup.com/ssd-specs/tlet-tld-m7a-4-tb.d1507
Toshiba BG4,128GB 256GB 512GB 1TB,TLC,M.2 2230,PCIe 3.0 x4,2019,KBG40ZNS,HMB,2300/1800 MB/s,390000/200000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/toshiba-bg4-1-tb.d1292
Toshiba Ethernet SSD,8TB,TLC,U.2,PCIe 3.0 x4,2019,88SS5000,Yes,3000/Unknown MB/s,650000/Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/toshiba-ethernet-ssd-8-tb.d1670
Toshiba Q Series Pro,128GB 256GB 512GB,MLC,2.5,SATA 6 Gbps,2013,88SS9189,No,554/512 MB/s,90000/35000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/toshiba-q-series-pro-512-gb.d2246
Transcend 240s,500GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,2021,SM2267,Yes,3800/3200 MB/s,370000/560000 IOPS,1700TBW,https://www.techpowerup.com/ssd-specs/transcend-240s-1-tb.d798
Transcend 250H,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2023,SM2264F,Yes,7200/6200 MB/s,530000/420000 IOPS,780TBW,https://www.techpowerup.com/ssd-specs/transcend-250h-1-tb.d1628
Transcend MTE250S,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2022,SM2264F,Yes,7200/6200 MB/s,530000/420000 IOPS,780TBW,https://www.techpowerup.com/ssd-specs/transcend-mte250s-1-tb.d1467
Transcend SSD370S (SM2242EN + Micron 16nm),32GB 64GB 128GB 256GB 512GB 1TB,MLC,2.5,SATA 6 Gbps,2015,SM2246EN,Yes,560/460 MB/s,75000/75000 IOPS,1180TBW,https://www.techpowerup.com/ssd-specs/transcend-ssd370s-1-tb.d1236
Union Memory UH711a,1.9TB 3.8TB 7.5TB,TLC,U.2,PCIe 4.0 x4,2023,Phoenix 8020,Yes,7200/2600 MB/s,900000/160000 IOPS,3500TBW,https://www.techpowerup.com/ssd-specs/union-memory-uh711a-1-9-tb.d1804
Union Memory UH810A,1.9TB 3.8TB 7.5TB,TLC,U.2,PCIe 4.0 x4,2022,Phoenix 8020,Yes,7000/2500 MB/s,1300000/100000 IOPS,3500TBW,https://www.techpowerup.com/ssd-specs/union-memory-uh810a-1-9-tb.d1807
Union Memory UH830A,1.6TB 3TB 6TB,TLC,U.2,PCIe 4.0 x4,2022,Phoenix 8020,Yes,7000/2700 MB/s,1500000/300000 IOPS,8760TBW,https://www.techpowerup.com/ssd-specs/union-memory-uh830a-1-6-tb.d1808
Valve Steam Deck SSD,256GB 512GB,TLC,M.2 2230,PCIe 3.0 x4,2022,Phison E13T,HMB,Unknown MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/valve-steam-deck-ssd-512-gb.d800
VisionTek DLX4 Pro,512GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2023,IG5236,Yes,7430/5935 MB/s,390000/1000000 IOPS,500TBW,https://www.techpowerup.com/ssd-specs/visiontek-dlx4-pro-1-tb.d1482
Western Digital Black AN1500,1TB 2TB 4TB,TLC,Add-In Card,PCIe 3.0 x8,2020,WD 20-82-00705,Yes,6500/4100 MB/s,Unknown IOPS,Unknown (per SSD)TBW,https://www.techpowerup.com/ssd-specs/western-digital-black-an1500-1-tb.d605
Western Digital Black SN770,250GB 500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,WD 20-82-10081,HMB,5150/4900 MB/s,740000/800000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/western-digital-black-sn770-1-tb.d648
Western Digital Blue 3D,250GB 500GB 1TB 2TB 4TB,TLC,2.5,SATA 6 Gbps,2017,88SS1074,Yes,560/530 MB/s,95000/84000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/western-digital-blue-3d-1-tb.d476
Western Digital Blue SA510 (SDC1 Milpitas + Kioxia BiCS5),250GB 500GB 1TB,TLC,2.5,SATA 6 Gbps,2022,WD A101-000125 Milpitas,No,560/520 MB/s,90000/82000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/western-digital-blue-sa510-1-tb.d850
Western Digital Blue SA510 (SM2259H + Kioxia BiCS5 512Gb),2TB,TLC,2.5,SATA 6 Gbps,2022,SM2259H,Yes,560/520 MB/s,90000/82000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/western-digital-blue-sa510-2-tb.d2272
Western Digital Gold DC SN600,960GB 1.9TB 3.8TB 7.5TB,TLC,U.2,PCIe 3.0 x4,2020,WD 20-82-10051-A0,Yes,3000/1100 MB/s,413000/44000 IOPS,1400TBW,https://www.techpowerup.com/ssd-specs/western-digital-gold-dc-sn600-960-gb.d1738
Western Digital PC SN810,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,Unknown,WD 20-82-10034-A1,Yes,6600/5000 MB/s,760000/650000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/western-digital-pc-sn810-1-tb.d1888
Western Digital RED SN700,250GB 500GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 3.0 x4,2021,WD 20-82-00700,Yes,3430/3000 MB/s,515000/560000 IOPS,2000TBW,https://www.techpowerup.com/ssd-specs/western-digital-red-sn700-1-tb.d1619
Western Digital SA500,500GB 1TB 2TB 4TB,TLC,2.5,SATA 6 Gbps,2019,88SS1074,Yes,560/530 MB/s,95000/85000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/western-digital-sa500-1-tb.d835
Western Digital SN350 (QLC),1TB 2TB,QLC,M.2 2280,PCIe 3.0 x4,2021,WD 20-82-01008,HMB,3200/2500 MB/s,300000/400000 IOPS,100TBW,https://www.techpowerup.com/ssd-specs/western-digital-sn350-1-tb.d1063
Western Digital SN350 (TLC),240GB 480GB 960GB,TLC,M.2 2280,PCIe 3.0 x4,2021,WD 20-82-01008,HMB,2400/1900 MB/s,340000/380000 IOPS,80TBW,https://www.techpowerup.com/ssd-specs/western-digital-sn350-960-gb.d1062
Western Digital SN500,250GB 500GB,TLC,M.2 2280,PCIe 3.0 x2,2019,WD 20-82-007010,Yes,1700/1450 MB/s,275000/300000 IOPS,300TBW,https://www.techpowerup.com/ssd-specs/western-digital-sn500-500-gb.d1204
Western Digital SN5000 (Kioxia BiCS5 TLC 512Gb HDR),500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2024,Polaris 3,HMB,5150/4900 MB/s,730000/770000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/western-digital-sn5000-1-tb.d2048
Western Digital SN5000 (Kioxia BiCS6 QLC 1Tb),4TB,QLC,M.2 2280,PCIe 4.0 x4,2024,Polaris 3,HMB,5500/5000 MB/s,690000/900000 IOPS,1200TBW,https://www.techpowerup.com/ssd-specs/western-digital-sn5000-4-tb.d2046
Western Digital SN5000S,512GB 1TB 2TB,QLC,M.2 2280,PCIe 4.0 x4,2024,Polaris 3,HMB,6000/5400 MB/s,750000/900000 IOPS,300TBW,https://www.techpowerup.com/ssd-specs/western-digital-sn5000s-1-tb.d1958
Western Digital SN5000S,512GB 1TB 2TB,QLC,M.2 2230,PCIe 4.0 x4,2024,Polaris 3,HMB,6000/5400 MB/s,750000/900000 IOPS,300TBW,https://www.techpowerup.com/ssd-specs/western-digital-sn5000s-1-tb.d1962
Western Digital SN530,256GB 512GB 1TB,TLC,M.2 2230,PCIe 3.0 x4,2021,WD 20-82-10048,HMB,2400/1950 MB/s,400000/400000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/western-digital-sn530-1-tb.d752
Western Digital SN530 (Xbox Series X),1TB,TLC,M.2 2230,PCIe 3.0 x4,2021,WD 20-82-10048,HMB,2400/1950 MB/s,400000/400000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/western-digital-sn530-xbox-series-x-1-tb.d753
Western Digital SN550,250GB 500GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2019,WD 20-82-01008,Yes,2400/1950 MB/s,345000/385000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/western-digital-sn550-1-tb.d471
